,Track,Car,Session,CurrentSector,LapsCompleted,BestLapTime,LastLapTime,LastSplitTime,Clock,AmbientTemperature,TrackTemperature,GripStatus,RainLevel,WindSpeed,WindDirection,RainTyres,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyrePressureFrontLeft,TyrePressureFrontRight,TyrePressureRearLeft,TyrePressureRearRight,TractionControl,TractionControlCut,ABS,BrakeBalance,EngineMap,CurrentFuel,UsedFuel,FuelPerLap,EstimatedFuelLaps
0,monza,ferrari_488_gt3_evo,1,1,0,NULL,NULL,265,43858.3515625,22.003,28.138,2,0,0.0,0.0,0,69.223,67.266,72.291,70.824,25.326,26.038,25.721,26.08,6,6,6,0.75,2,19.024,0.976,1078355558,6.137
1,monza,ferrari_488_gt3_evo,1,2,0,NULL,NULL,255,43898.359375,22.009,28.157,2,0,0.0,0.0,0,76.295,68.729,76.336,71.829,26.005,26.179,26.109,26.177,6,6,6,0.75,2,18.024,1.976,1078355558,5.814
2,monza,ferrari_488_gt3_evo,1,0,1,NULL,182423,262,43943.3671875,22.017,28.178,2,0,0.0,0.0,0,82.732,79.793,81.768,79.947,26.624,27.242,26.631,26.956,6,6,6,0.75,2,16.935,3.065,1078166192,5.544
3,monza,ferrari_488_gt3_evo,1,1,1,NULL,182423,260,43978.375,22.022,28.195,2,0,0.0,0.0,0,83.433,77.929,82.761,79.145,26.691,27.063,26.727,26.795,6,6,6,0.75,2,15.913,4.087,1078166192,5.209
4,monza,ferrari_488_gt3_evo,1,2,1,NULL,182423,260,44018.3828125,22.028,28.214,2,0,0.0,0.0,0,85.968,76.263,83.503,77.606,26.935,26.903,26.798,26.648,6,6,6,0.75,2,14.9,5.1,1078166192,4.878
5,monza,ferrari_488_gt3_evo,1,0,2,112125,112125,260,44053.390625,22.034,28.23,2,0,0.0,0.0,0,85.337,75.919,83.045,77.815,26.875,26.871,26.755,26.668,6,6,6,0.75,2,13.885,6.115,1078157218,4.548
6,monza,ferrari_488_gt3_evo,1,1,2,112125,112125,252,44088.39453125,22.039,28.247,2,0,0.0,0.0,0,84.378,74.542,82.965,77.035,26.783,26.739,26.748,26.593,6,6,6,0.75,2,12.864,7.136,1078157218,4.214
7,monza,ferrari_488_gt3_evo,2,1,0,NULL,NULL,255,47156.0625,22.403,29.346,2,0,0.0,0.0,0,80.596,75.365,72.895,71.271,26.719,27.116,25.963,26.323,6,6,6,0.75,2,42.086,1.914,1078355558,13.576
8,monza,ferrari_488_gt3_evo,2,2,0,NULL,NULL,252,47236.078125,22.409,29.365,2,0,0.0,0.0,0,84.714,73.769,77.717,72.914,27.114,26.964,26.427,26.481,6,6,6,0.75,2,41.096,2.904,1078355558,13.257
9,monza,ferrari_488_gt3_evo,2,0,1,416890,416890,257,47306.09375,22.415,29.382,2,0,0.0,0.0,0,84.684,74.514,79.765,75.117,27.112,27.035,26.624,26.693,6,6,6,0.75,2,40.082,3.918,1078430384,12.856
10,monza,ferrari_488_gt3_evo,2,1,1,416890,416890,252,47386.109375,22.421,29.401,2,0,0.0,0.0,0,83.415,73.347,81.185,75.583,26.99,26.924,26.76,26.738,6,6,6,0.75,2,39.057,4.943,1078430384,12.527
11,monza,ferrari_488_gt3_evo,2,2,1,416890,416890,260,47456.125,22.426,29.417,2,0,0.0,0.0,0,85.72,73.57,82.95,75.548,27.212,26.945,26.93,26.735,6,6,6,0.75,2,38.072,5.928,1078430384,12.211
12,monza,ferrari_488_gt3_evo,2,0,2,112135,112135,260,47536.140625,22.432,29.434,2,0,0.0,0.0,0,85.066,74.486,82.881,76.525,27.15,27.034,26.924,26.83,6,6,6,0.75,2,37.045,6.955,1078260992,12.037
13,monza,ferrari_488_gt3_evo,2,1,2,112135,112135,260,47606.15234375,22.437,29.45,2,0,0.0,0.0,0,84.119,73.762,82.875,76.29,27.059,26.965,26.924,26.807,6,6,6,0.75,2,36.001,7.999,1078260992,11.698
14,monza,ferrari_488_gt3_evo,2,2,2,112135,112135,257,47686.171875,22.443,29.466,2,0,0.0,0.0,0,86.553,76.06,83.598,76.205,27.293,27.181,26.993,26.8,6,6,6,0.75,2,34.989,9.011,1078260992,11.369
15,monza,ferrari_488_gt3_evo,2,0,3,112135,113177,272,47756.18359375,22.448,29.481,2,0,0.0,0.0,0,85.775,77.176,83.359,77.334,27.219,27.289,26.971,26.908,6,6,6,0.75,2,33.971,10.029,1078255637,11.043
16,monza,ferrari_488_gt3_evo,2,1,3,112135,113177,265,47836.19921875,22.453,29.497,2,0,0.0,0.0,0,84.335,75.648,83.428,77.031,27.081,27.142,26.978,26.879,6,6,6,0.75,2,32.924,11.075,1078255637,10.703
17,monza,ferrari_488_gt3_evo,2,2,3,112135,113177,255,47916.21484375,22.458,29.512,2,0,0.0,0.0,0,87.268,76.27,84.46,76.799,27.266,27.202,27.016,26.858,6,6,6,0.75,2,31.886,12.114,1078255637,10.365
18,monza,ferrari_488_gt3_evo,2,0,4,112135,113950,255,47986.23046875,22.462,29.525,2,0,0.0,0.0,0,87.184,76.947,84.309,77.722,27.258,27.267,27.002,26.946,6,6,6,0.75,2,30.849,13.151,1078449704,9.88
19,monza,ferrari_488_gt3_evo,2,1,4,112135,113950,257,48056.2421875,22.466,29.538,2,0,0.0,0.0,0,85.762,75.525,84.182,77.326,27.122,27.131,26.99,26.909,6,6,6,0.75,2,29.802,14.198,1078449704,9.545
20,monza,ferrari_488_gt3_evo,2,2,4,112135,113950,262,48146.26171875,22.472,29.554,2,0,0.0,0.0,0,87.417,75.111,84.554,76.857,27.281,27.092,27.026,26.864,6,6,6,0.75,2,28.794,15.206,1078449704,9.222
21,monza,ferrari_488_gt3_evo,2,0,5,112135,113162,252,48216.27734375,22.476,29.566,2,0,0.0,0.0,0,87.574,75.848,83.948,77.56,27.296,27.163,26.968,26.932,6,6,6,0.75,2,27.76,16.24,1078379524,8.938
22,monza,ferrari_488_gt3_evo,2,1,5,112135,113162,260,48286.2890625,22.479,29.578,2,0,0.0,0.0,0,86.354,74.319,83.788,76.975,27.179,27.016,26.953,26.876,6,6,6,0.75,2,26.716,17.284,1078379524,8.602
23,monza,ferrari_488_gt3_evo,2,2,5,112135,113162,260,48366.3046875,22.484,29.59,2,0,0.0,0.0,0,89.175,74.461,85.795,77.447,27.45,27.03,27.146,26.921,6,6,6,0.75,2,25.685,18.314,1078379524,8.27
24,monza,ferrari_488_gt3_evo,2,0,6,112135,112562,262,48436.3203125,22.487,29.601,2,0,0.0,0.0,0,88.43,75.598,85.723,79.213,27.379,27.14,27.14,27.091,6,6,6,0.75,2,24.637,19.363,1078403163,7.918
